Group ID,Individual ID,indiv_convq
1_005,13,0.8
1_005,22,0.7749999999999999
1_005,36,0.75
1_018,20,0.9750000000000001
1_018,31,1.0
1_018,35,1.0
1_019,17,0.75
1_019,25,0.725
1_019,28,0.75
1_020,19,0.725
1_020,34,0.675
1_030,17,0.75
1_030,19,0.75
1_030,28,0.75
1_033,13,0.825
1_033,22,0.7
1_033,36,0.55
1_034,17,0.825
1_034,19,0.7749999999999999
1_034,25,0.8
1_034,28,0.8500000000000001
1_035,12,0.75
1_035,13,0.75
1_035,22,0.725
1_035,36,0.675
1_042,16,0.825
1_042,18,0.7
1_042,21,0.8
1_044,3,0.725
1_044,22,0.75
1_046,12,0.95
1_046,13,0.525
1_046,36,0.7749999999999999
1_047,12,0.8
1_047,36,0.725
1_059,6,0.7
1_059,34,0.75
1_060,20,0.7749999999999999
1_060,31,0.8500000000000001
1_060,35,0.7749999999999999
1_061,12,0.75
1_061,22,0.6
1_061,36,0.725
1_062,6,0.7749999999999999
1_062,20,0.6
1_062,31,0.75
1_062,34,0.725
1_062,35,0.7
1_065,6,0.8500000000000001
1_065,34,0.875
1_066,20,0.8
1_066,31,0.875
1_066,35,0.8999999999999999
1_067,17,0.75
1_067,19,0.75
1_067,25,0.75
1_067,28,0.75
1_068,2,0.65
1_068,13,0.8
1_068,18,0.825
1_068,24,0.75
1_069,38,0.95
1_069,39,0.95
1_071,6,1.0
1_071,20,0.8999999999999999
1_071,31,0.9750000000000001
1_071,34,0.8
1_071,35,0.675
1_072,8,0.4
1_072,26,0.7749999999999999
1_073,8,0.8
1_073,26,0.95
1_074,8,0.675
1_074,26,0.8999999999999999
1_075,8,0.8
1_075,26,0.725
1_076,14,0.725
1_076,32,0.7749999999999999
1_077,14,0.7
1_077,32,0.65
1_078,14,1.0
1_078,32,0.875
1_079,14,0.725
1_079,32,0.725
1_080,16,0.725
1_080,21,0.725
1_081,16,0.7749999999999999
1_081,21,0.825
1_082,2,0.475
1_082,18,0.675
1_083,2,0.7
1_083,18,0.75
1_084,16,0.8500000000000001
1_084,21,0.7749999999999999
1_085,16,0.75
1_085,21,0.75
1_086,20,0.7749999999999999
