Group ID,group_convq
1_005,4.0
1_018,4.1
1_019,4.0
1_020,5.0
1_030,4.0
1_033,3.0
1_034,4.4
1_035,3.7
1_042,3.8
1_044,4.9
1_046,3.3
1_047,4.4
1_059,4.5
1_060,2.8
1_061,4.0
1_062,3.8
1_065,4.9
1_066,3.8
1_067,3.8
1_068,3.7
1_069,4.8
1_071,3.8
1_072,4.4
1_073,4.8
1_074,4.0
1_075,4.1
1_076,4.1
1_077,4.7
1_078,4.5
1_079,4.4
1_080,4.3
1_081,4.8
1_082,3.4
1_083,3.9
1_084,3.9
1_085,4.6
1_086,3.7
1_087,4.5
1_088,4.6
1_089,4.3
1_090,4.4
1_091,4.7
2_005,4.3
2_006,4.2
2_009,4.1
2_011,4.3
2_020,3.7
2_021,3.3
2_022,3.6
2_027,1.4
2_036,3.9
2_038,3.5
2_042,3.7
2_043,4.1
2_044,3.5
2_050,3.7
2_052,3.3
2_056,4.8
2_057,2.3
2_058,4.8
2_059,4.5
2_060,3.9
2_061,4.1
2_062,5.0
2_063,5.0
2_064,3.4
2_065,3.8
2_066,4.8
2_067,4.4
2_068,3.2
2_069,1.5
3_004,4.9
3_006,3.4
3_007,4.5
3_010,4.9
3_012,4.2
3_013,3.0
3_016,4.8
3_021,4.9
3_023,4.9
3_024,4.2
3_027,5.0
3_028,4.9
3_029,4.5
3_031,4.9
3_033,4.4
3_035,3.4
3_037,4.8
3_041,4.6
3_042,5.0
3_043,4.5
3_046,4.3
3_047,1.7
3_048,4.6
3_050,5.0
3_051,4.9
3_052,4.4
3_054,4.9
3_055,4.8
3_058,4.9
3_059,5.0
3_060,3.9
3_061,3.9
3_062,5.0
3_063,4.9
3_064,4.9
3_065,4.9
3_066,4.9
3_067,4.8
3_068,4.2
3_069,3.6
3_070,3.3
3_071,4.5
3_072,5.0
3_073,4.5
