Group ID,Individual ID,indiv_convq
1_005,13,3.8
1_005,22,4.8
1_005,36,4.0
1_018,20,3.7
1_018,31,3.9
1_018,35,3.9
1_019,17,4.4
1_019,25,4.8
1_019,28,3.8
1_020,19,3.1
1_020,34,2.9
1_030,17,4.6
1_030,19,4.1
1_030,28,4.6
1_033,13,4.0
1_033,22,3.8
1_033,36,2.2
1_034,17,4.3
1_034,19,4.2
1_034,25,4.2
1_034,28,3.9
1_035,12,3.7
1_035,13,3.8
1_035,22,3.7
1_035,36,3.7
1_042,16,3.6
1_042,18,2.5
1_042,21,3.3
1_044,3,4.5
1_044,22,4.4
1_046,12,3.7
1_046,13,2.2
1_046,36,4.0
1_047,12,4.6
1_047,36,4.1
1_059,6,3.8
1_059,34,4.0
1_060,20,3.2
1_060,31,3.2
1_060,35,3.4
1_061,12,4.0
1_061,22,3.9
1_061,36,3.7
1_062,6,4.2
1_062,20,4.0
1_062,31,4.0
1_062,34,3.8
1_062,35,3.3
1_065,6,3.7
1_065,34,4.0
1_066,20,3.8
1_066,31,3.7
1_066,35,3.9
1_067,17,4.0
1_067,19,4.0
1_067,25,4.0
1_067,28,4.0
1_068,2,2.4
1_068,13,4.0
1_068,18,3.7
1_068,24,3.3
1_069,38,4.0
1_069,39,4.0
1_071,6,4.1
1_071,20,4.0
1_071,31,4.0
1_071,34,3.8
1_071,35,3.7
1_072,8,2.6
1_072,26,3.7
1_073,8,3.3
1_073,26,3.8
1_074,8,3.5
1_074,26,3.6
1_075,8,3.5
1_075,26,3.7
1_076,14,4.0
1_076,32,4.0
1_077,14,3.4
1_077,32,3.8
1_078,14,3.9
1_078,32,3.4
1_079,14,4.2
1_079,32,4.0
1_080,16,3.6
1_080,21,3.7
1_081,16,4.0
1_081,21,3.8
1_082,2,3.9
1_082,18,3.9
1_083,2,4.0
1_083,18,4.1
1_084,16,4.2
1_084,21,4.1
1_085,16,4.0
1_085,21,3.7
1_086,20,4.4
1_086,31,3.8
1_086,34,4.4
1_086,35,4.0
1_087,20,4.1
1_087,31,3.9
1_087,34,3.6
1_087,35,4.0
1_088,12,4.2
1_088,36,4.4
1_089,2,4.1
1_089,13,4.6
1_089,18,4.4
1_090,19,4.1
1_090,25,4.2
1_091,17,4.0
1_091,28,3.9
2_005,2,3.4
2_005,7,2.7
2_005,31,2.8
2_005,32,2.8
2_005,36,3.4
2_006,10,3.6
2_006,12,4.0
2_006,13,2.4
2_006,15,3.0
2_006,33,4.0
2_006,37,3.8
2_009,23,3.8
2_009,26,3.0
2_011,14,2.9
2_011,16,3.1
2_011,29,3.8
2_020,2,3.2
2_020,7,3.2
2_021,31,2.8
2_021,32,2.8
2_021,36,2.1
2_022,10,4.0
2_022,12,3.4
2_022,33,3.7
2_027,27,1.6
2_027,37,1.5
2_036,8,4.0
2_036,9,4.4
2_036,14,3.6
2_036,16,3.8
2_036,22,4.0
2_036,35,4.0
2_038,10,4.1
2_038,12,2.6
2_038,33,4.0
2_042,2,2.4
2_042,7,3.5
2_042,13,4.0
2_042,15,3.8
2_042,21,2.4
2_043,31,3.8
2_043,32,3.9
2_043,36,3.2
2_044,8,3.6
2_044,9,4.3
2_044,14,2.4
2_044,16,2.3
2_044,22,3.5
2_044,30,3.8
2_050,1,4.1
2_050,10,4.3
2_050,26,4.2
2_052,12,4.1
2_052,13,3.6
2_052,15,3.0
2_052,21,2.0
2_056,27,3.7
2_056,28,4.0
2_056,37,4.1
2_057,27,1.8
2_057,28,3.1
2_057,37,3.5
2_058,5,3.6
2_058,30,2.7
2_059,5,3.5
2_059,30,3.1
2_060,8,3.8
2_060,9,3.8
2_060,14,3.3
2_060,16,2.7
2_060,22,3.8
2_060,29,3.6
2_060,35,3.8
2_061,8,3.4
2_061,9,3.6
2_061,14,2.7
2_061,16,3.6
2_061,22,3.9
2_061,29,3.8
2_061,35,2.4
2_062,5,4.0
2_062,29,4.0
2_063,5,4.0
2_063,29,4.1
2_064,2,4.1
2_064,7,3.3
2_064,31,3.8
2_064,32,3.8
2_064,36,4.1
2_065,2,3.5
2_065,7,2.3
2_065,31,2.2
2_065,32,2.9
2_065,36,3.0
2_066,13,4.0
2_066,15,3.1
2_066,21,3.8
2_067,13,3.9
2_067,15,3.6
2_067,21,3.9
2_068,10,4.5
2_068,12,3.8
2_068,33,4.0
2_068,37,1.3
2_069,27,2.1
2_069,28,1.6
3_004,26,4.0
3_004,27,4.1
3_004,28,4.0
3_004,37,4.4
3_006,4,4.0
3_006,9,2.3
3_006,20,3.4
3_006,23,4.0
3_007,11,3.8
3_007,12,3.9
3_007,15,4.0
3_010,13,4.0
3_010,36,4.0
3_012,2,1.9
3_012,14,3.6
3_012,25,3.6
3_012,31,1.4
3_013,8,3.1
3_013,24,1.7
3_016,2,3.6
3_016,31,3.6
3_021,4,3.2
3_021,20,3.8
3_021,23,3.8
3_023,26,3.9
3_023,27,3.3
3_024,28,2.7
3_024,37,2.5
3_027,2,4.4
3_027,31,4.3
3_028,13,3.8
3_028,36,4.4
3_029,4,3.3
3_029,9,4.0
3_029,20,4.0
3_029,23,4.8
3_031,4,4.1
3_031,20,3.8
3_031,23,4.1
3_033,2,4.6
3_033,13,1.7
3_033,31,4.8
3_035,4,4.0
3_035,9,2.3
3_035,20,3.8
3_035,23,4.1
3_037,4,3.7
3_037,20,3.4
3_037,23,4.1
3_041,4,4.0
3_041,9,3.3
3_041,20,3.6
3_041,23,4.4
3_042,2,4.3
3_042,31,4.3
3_043,13,3.8
3_043,36,4.0
3_046,26,3.8
3_046,27,4.0
3_047,28,2.4
3_047,37,1.8
3_048,7,3.9
3_048,24,4.1
3_050,9,4.3
3_050,20,4.7
3_051,4,4.2
3_051,23,4.4
3_052,26,3.8
3_052,27,4.0
3_052,28,4.1
3_052,37,2.7
3_054,13,4.2
3_054,36,4.2
3_055,2,4.0
3_055,13,2.8
3_055,31,4.0
3_055,36,4.9
3_058,14,3.7
3_058,25,4.0
3_059,14,2.5
3_059,25,2.9
3_060,1,4.0
3_060,5,4.0
3_060,21,3.6
3_060,22,4.7
3_061,1,3.8
3_061,5,3.8
3_061,21,3.9
3_061,22,4.3
3_062,1,4.4
3_062,5,4.0
3_062,21,4.2
3_062,22,4.4
3_063,1,4.9
3_063,5,3.9
3_063,21,4.9
3_063,22,4.2
3_064,3,3.9
3_064,29,4.2
3_065,3,3.9
3_065,29,4.7
3_066,3,4.0
3_066,29,3.9
3_067,12,1.1
3_067,15,2.3
3_068,12,3.1
3_068,15,3.7
3_069,12,2.4
3_069,15,3.1
3_070,8,2.6
