,groupid,subjects,timestart,timeend,samplestart,sampleend,duration_secs,duration_mins
0,1_005,13 22 36,10:00,12:09,12000,14580,129.0,2.15
1,1_018,31 35 20,10:32,11:47,12640,14140,75.0,1.25
2,1_019,17 25 28,10:32,11:27,12640,13740,55.0,0.92
3,1_020,19 34,10:32,11:47,12640,14140,75.0,1.25
4,1_030,17 19 28,12:06,13:00,14520,15600,54.0,0.9
5,1_033,13 22 36,12:28,13:17,14960,15940,49.0,0.82
6,1_034,17 25 19 28,13:00,15:03,15600,18060,123.0,2.05
7,1_035,12 22 13 36,13:17,14:46,15940,17720,89.0,1.48
8,1_042,16 18 21,14:27,15:25,17340,18500,58.0,0.97
9,1_044,3 22,14:46,16:22,17720,19640,96.0,1.6
10,1_046,12 13 36,14:46,15:17,17720,18340,31.0,0.52
11,1_047,12 36,15:17,16:25,18340,19700,68.0,1.13
12,1_059,6 34,16:17,16:43,19540,20060,26.0,0.43
13,1_060,20 31 35,16:17,16:43,19540,20060,26.0,0.43
14,1_061,12 22 36,16:25,16:50,19700,20200,25.0,0.42
15,1_062,6 34 20 31 35,16:43,17:12,20060,20640,29.0,0.48
16,1_065,6 34,17:12,19:13,20640,23060,121.0,2.02
17,1_066,20 31 35,17:12,19:13,20640,23060,121.0,2.02
18,1_067,17 19 25 28,18:21,20:00,22020,24000,99.0,1.65
19,1_068,2 13 18 24,18:35,20:00,22300,24000,85.0,1.42
20,1_069,38 39,18:38,20:00,22360,24000,82.0,1.37
21,1_071,6 34 20 31 35,19:13,20:00,23060,24000,47.0,0.78
22,1_072,8 26,10:00,12:00,12000,14400,120.0,2.0
23,1_073,8 26,12:00,14:00,14400,16800,120.0,2.0
24,1_074,8 26,14:00,16:00,16800,19200,120.0,2.0
25,1_075,8 26,16:00,19:00,19200,22800,180.0,3.0
26,1_076,14 32,10:00,12:00,12000,14400,120.0,2.0
27,1_077,14 32,12:00,14:00,14400,16800,120.0,2.0
28,1_078,14 32,14:00,16:30,16800,19800,150.0,2.5
29,1_079,14 32,18:00,20:00,21600,24000,120.0,2.0
30,1_080,16 21,15:25,17:25,18500,20900,120.0,2.0
31,1_081,16 21,18:00,20:00,21600,24000,120.0,2.0
32,1_082,2 18,10:00,12:00,12000,14400,120.0,2.0
33,1_083,2 18,12:00,14:00,14400,16800,120.0,2.0
34,1_084,16 21,10:00,12:00,12000,14400,120.0,2.0
35,1_085,16 21,12:00,14:00,14400,16800,120.0,2.0
36,1_086,20 31 34 35,12:06,14:06,14520,16920,120.0,2.0
37,1_087,20 31 34 35,14:06,16:06,16920,19320,120.0,2.0
38,1_088,12 36,16:50,19:50,20200,23800,180.0,3.0
39,1_089,2 13 18,15:25,18:25,18500,22100,180.0,3.0
40,1_090,19 25,15:03,18:03,18060,21660,180.0,3.0
41,1_091,17 28,15:03,18:03,18060,21660,180.0,3.0
42,2_005,2 7 31 32 36,00:00,01:13,0,1460,73.0,1.22
43,2_006,10 12 13 15 33 37,00:00,00:47,0,940,47.0,0.78
44,2_009,23 26,00:00,00:34,0,680,34.0,0.57
45,2_011,14 16 29,00:00,00:35,0,700,35.0,0.58
46,2_020,2 7,01:13,03:53,1460,4660,160.0,2.67
47,2_021,31 32 36,01:13,03:53,1460,4660,160.0,2.67
48,2_022,10 12 33,01:52,02:22,2240,2840,30.0,0.5
49,2_027,37  27,01:52,02:22,2240,2840,30.0,0.5
50,2_036,14 16 8 9 22 35,05:31,07:48,6620,9360,137.0,2.28
51,2_038,10 12 33,06:02,08:26,7240,10120,144.0,2.4
52,2_042,2 7 13 15 21,07:52,09:02,9440,10840,70.0,1.17
53,2_043,31 32 36,07:52,10:00,9440,12000,128.0,2.13
54,2_044,14 16 8 9 22 30,07:55,08:46,9500,10520,51.0,0.85
55,2_050,1 26 10,08:52,10:00,10640,12000,68.0,1.13
56,2_052,13 15 21 12,09:08,10:00,10960,12000,52.0,0.87
57,2_056,27 28 37,06:02,07:07,7240,8540,65.0,1.08
58,2_057,27 28 37,08:06,10:00,9720,12000,114.0,1.9
59,2_058,5 30,00:01,02:01,20,2420,120.0,2.0
60,2_059,5 30,03:01,04:56,3620,5920,115.0,1.92
61,2_060,14 16 29 8 9 22 35,00:35,02:35,700,3100,120.0,2.0
62,2_061,14 16 29 8 9 22 35,03:01,05:31,3620,6620,150.0,2.5
63,2_062,5 29,05:31,07:31,6620,9020,120.0,2.0
64,2_063,5 29,07:32,09:32,9040,11440,120.0,2.0
65,2_064,2 7 31 32 36,03:53,05:53,4660,7060,120.0,2.0
66,2_065,2 7 31 32 36,05:53,07:52,7060,9440,119.0,1.98
67,2_066,13 15 21,03:56,05:26,4720,6520,90.0,1.5
68,2_067,13 15 21,05:26,07:51,6520,9420,145.0,2.42
69,2_068,10 12 33 37,02:22,05:22,2840,6440,180.0,3.0
70,2_069,27 28,02:22,05:22,2840,6440,180.0,3.0
71,3_004,26 27 28 37,18:00,19:32,21600,23440,92.0,1.53
72,3_006,9 4 23 20,18:00,19:10,21600,23000,70.0,1.17
73,3_007,12 11 15,18:00,20:19,21600,24380,139.0,2.32
74,3_010,13 36,18:00,19:08,21600,22960,68.0,1.13
75,3_012,14 31 25 2,18:00,18:25,21600,22100,25.0,0.42
76,3_013,24 8,18:00,18:39,21600,22380,39.0,0.65
77,3_016,31 2,18:25,19:08,22100,22960,43.0,0.72
78,3_021,4 23 20,19:10,21:22,23000,25640,132.0,2.2
79,3_023,26 27,19:32,20:09,23440,24180,37.0,0.62
80,3_024,28 37,19:32,20:09,23440,24180,37.0,0.62
81,3_027,31 2,19:52,22:41,23840,27220,169.0,2.82
82,3_028,13 36,19:52,22:41,23840,27220,169.0,2.82
83,3_029,9 4 23 20,21:22,22:20,25640,26800,58.0,0.97
84,3_031,4 23 20,22:20,22:52,26800,27440,32.0,0.53
85,3_033,31 2 13,22:48,24:44,27360,29680,116.0,1.93
