,subjects,timestart,timeend,samplestart,sampleend,duration_mins,duration_secs
0,"['5', '30']",1900-01-01 00:00:00,1900-01-01 00:04:58,0,5960,4.97,298.0
1,"['2', '7', '31', '32', '36']",1900-01-01 00:00:00,1900-01-01 00:01:13,0,1460,1.22,73.0
2,"['10', '12', '13', '15', '33', '37']",1900-01-01 00:00:00,1900-01-01 00:00:47,0,940,0.78,47.0
3,['28'],1900-01-01 00:00:00,1900-01-01 00:02:22,0,2840,2.37,142.0
4,"['1', '7']",1900-01-01 00:00:00,1900-01-01 00:00:34,0,680,0.57,34.0
5,"['23', '26']",1900-01-01 00:00:00,1900-01-01 00:00:34,0,680,0.57,34.0
6,"['8', '9', '22', '35']",1900-01-01 00:00:00,1900-01-01 00:00:35,0,700,0.58,35.0
7,"['14', '16', '29']",1900-01-01 00:00:00,1900-01-01 00:00:35,0,700,0.58,35.0
8,['24'],1900-01-01 00:00:00,1900-01-01 00:06:13,0,7460,6.22,373.0
9,['21'],1900-01-01 00:00:08,1900-01-01 00:03:20,160,4000,3.2,192.0
10,"['23', '11', '6']",1900-01-01 00:00:34,1900-01-01 00:06:13,680,7460,5.65,339.0
11,"['1', '6', '26']",1900-01-01 00:00:34,1900-01-01 00:06:13,680,7460,5.65,339.0
12,"['14', '16', '29', '8', '9', '22', '35']",1900-01-01 00:00:35,1900-01-01 00:05:31,700,6620,4.93,296.0
13,"['10', '12', '13', '15', '33', '37', '27']",1900-01-01 00:00:47,1900-01-01 00:01:00,940,1200,0.22,13.0
14,"['10', '12', '13', '15', '33', '37']",1900-01-01 00:01:00,1900-01-01 00:01:22,1200,1640,0.37,22.0
15,['27'],1900-01-01 00:01:00,1900-01-01 00:01:22,1200,1640,0.37,22.0
16,"['2', '7']",1900-01-01 00:01:13,1900-01-01 00:03:53,1460,4660,2.67,160.0
17,"['31', '32', '36']",1900-01-01 00:01:13,1900-01-01 00:03:53,1460,4660,2.67,160.0
18,"['10', '12', '13', '15', '33', '37', '27']",1900-01-01 00:01:22,1900-01-01 00:01:36,1640,1920,0.23,14.0
19,"['10', '12', '15', '33', '37', '27']",1900-01-01 00:01:36,1900-01-01 00:01:52,1920,2240,0.27,16.0
20,['13'],1900-01-01 00:01:36,1900-01-01 00:03:20,1920,4000,1.73,104.0
21,"['10', '12', '33']",1900-01-01 00:01:52,1900-01-01 00:02:22,2240,2840,0.5,30.0
22,['15'],1900-01-01 00:01:52,1900-01-01 00:03:56,2240,4720,2.07,124.0
23,"['37', '27']",1900-01-01 00:01:52,1900-01-01 00:02:22,2240,2840,0.5,30.0
24,"['10', '12', '33', '37']",1900-01-01 00:02:22,1900-01-01 00:06:02,2840,7240,3.67,220.0
25,"['27', '28']",1900-01-01 00:02:22,1900-01-01 00:06:02,2840,7240,3.67,220.0
26,"['21', '13']",1900-01-01 00:03:20,1900-01-01 00:03:56,4000,4720,0.6,36.0
27,"['2', '7', '31', '32', '36']",1900-01-01 00:03:53,1900-01-01 00:07:52,4660,9440,3.98,239.0
28,"['13', '15', '21']",1900-01-01 00:03:56,1900-01-01 00:07:52,4720,9440,3.93,236.0
29,['5'],1900-01-01 00:04:58,1900-01-01 00:05:31,5960,6620,0.55,33.0
30,['30'],1900-01-01 00:04:58,1900-01-01 00:07:48,5960,9360,2.83,170.0
31,"['5', '29']",1900-01-01 00:05:31,1900-01-01 00:10:00,6620,12000,4.48,269.0
32,"['14', '16', '8', '9', '22', '35']",1900-01-01 00:05:31,1900-01-01 00:07:48,6620,9360,2.28,137.0
33,"['27', '28', '37']",1900-01-01 00:06:02,1900-01-01 00:10:00,7240,12000,3.97,238.0
34,"['10', '12', '33']",1900-01-01 00:06:02,1900-01-01 00:08:26,7240,10120,2.4,144.0
35,"['1', '26']",1900-01-01 00:06:13,1900-01-01 00:08:52,7460,10640,2.65,159.0
36,"['11', '23', '24', '6']",1900-01-01 00:06:13,1900-01-01 00:10:00,7460,12000,3.78,227.0
37,"['14', '16', '8', '9', '22', '30', '35']",1900-01-01 00:07:48,1900-01-01 00:07:55,9360,9500,0.12,7.0
38,"['2', '7', '13', '15', '21']",1900-01-01 00:07:52,1900-01-01 00:09:02,9440,10840,1.17,70.0
39,"['31', '32', '36']",1900-01-01 00:07:52,1900-01-01 00:10:00,9440,12000,2.13,128.0
40,"['14', '16', '8', '9', '22', '30']",1900-01-01 00:07:55,1900-01-01 00:08:46,9500,10520,0.85,51.0
41,['35'],1900-01-01 00:07:55,1900-01-01 00:10:00,9500,12000,2.08,125.0
42,['10'],1900-01-01 00:08:26,1900-01-01 00:08:52,10120,10640,0.43,26.0
43,['12'],1900-01-01 00:08:26,1900-01-01 00:09:02,10120,10840,0.6,36.0
44,['33'],1900-01-01 00:08:26,1900-01-01 00:08:46,10120,10520,0.33,20.0
45,"['14', '16', '8', '9', '22', '30', '33']",1900-01-01 00:08:46,1900-01-01 00:10:00,10520,12000,1.23,74.0
46,"['1', '26', '10']",1900-01-01 00:08:52,1900-01-01 00:10:00,10640,12000,1.13,68.0
47,"['2', '7', '13', '15', '21', '12']",1900-01-01 00:09:02,1900-01-01 00:09:08,10840,10960,0.1,6.0
48,"['13', '15', '21', '12']",1900-01-01 00:09:08,1900-01-01 00:10:00,10960,12000,0.87,52.0
49,"['2', '7']",1900-01-01 00:09:08,1900-01-01 00:09:32,10960,11440,0.4,24.0
50,['2'],1900-01-01 00:09:32,1900-01-01 00:10:00,11440,12000,0.47,28.0
51,['7'],1900-01-01 00:09:32,1900-01-01 00:10:00,11440,12000,0.47,28.0
