subjects,timestart,timeend,samplestart,sampleend
13 22 36,10:00:00,12:09:00,12000,14580
2 18,10:00:00,14:27:00,12000,17340
16 21,10:00:00,14:27:00,12000,17340
8 26,10:00:00,20:00:00,12000,24000
14 32,10:00:00,20:00:00,12000,24000
31 35 20,10:32:00,11:47:00,12640,14140
17 25 28,10:32:00,11:27:00,12640,13740
19 34,10:32:00,11:47:00,12640,14140
20 31 34 35,12:06:00,16:17:00,14520,19540
17 19 28,12:06:00,13:00:00,14520,15600
13 22 36,12:28:00,13:17:00,14960,15940
17 25 19 28,13:00:00,15:03:00,15600,18060
12 22 13 36,13:17:00,14:46:00,15940,17720
16 18 21,14:27:00,15:25:00,17340,18500
3 22,14:46:00,16:22:00,17720,19640
12 13 36,14:46:00,15:17:00,17720,18340
12 36,15:17:00,16:25:00,18340,19700
17 28,15:03:00,18:21:00,18060,22020
19 25,15:03:00,18:21:00,18060,22020
16 21,15:25:00,20:00:00,18500,24000
2 13 18,15:25:00,18:35:00,18500,22300
6 34,16:17:00,16:43:00,19540,20060
20 31 35,16:17:00,16:43:00,19540,20060
12 22 36,16:25:00,16:50:00,19700,20200
6 34 20 31 35,16:43:00,17:12:00,20060,20640
12 36,16:50:00,20:00:00,20200,24000
6 34,17:12:00,19:13:00,20640,23060
20 31 35,17:12:00,19:13:00,20640,23060
17 19 25 28,18:21:00,20:00:00,22020,24000
2 13 18 24,18:35:00,20:00:00,22300,24000
38 39,18:38:00,20:00:00,22360,24000
6 34 20 31 35,19:13:00,20:00:00,23060,24000
5 30,00:00:00,04:58:00,0,5960
2 7 31 32 36,00:00:00,01:13:00,0,1460
10 12 13 15 33 37,00:00:00,00:47:00,0,940
23 26,00:00:00,00:34:00,0,680
14 16 29,00:00:00,00:35:00,0,700
14 16 29 8 9 22 35,00:35:00,05:31:00,700,6620
2 7,01:13:00,03:53:00,1460,4660
31 32 36,01:13:00,03:53:00,1460,4660
10 12 33,01:52:00,02:22:00,2240,2840
37  27,01:52:00,02:22:00,2240,2840
10 12 33 37,02:22:00,06:02:00,2840,7240
27 28,02:22:00,06:02:00,2840,7240
2 7 31 32 36,03:53:00,07:52:00,4660,9440
13 15 21,03:56:00,07:52:00,4720,9440
5 29,05:31:00,10:00:00,6620,12000
14 16 8 9 22 35,05:31:00,07:48:00,6620,9360
10 12 33,06:02:00,08:26:00,7240,10120
2 7 13 15 21,07:52:00,09:02:00,9440,10840
31 32 36,07:52:00,10:00:00,9440,12000
14 16 8 9 22 30,07:55:00,08:46:00,9500,10520
1 26 10,08:52:00,10:00:00,10640,12000
13 15 21 12,09:08:00,10:00:00,10960,12000
27 28 37,06:02:00,07:07:00,7240,8540
27 28 37,06:02:00,10:00:00,7240,12000
26 27 28 37,18:00:00,19:32:00,21600,23440
21 22 5 1,18:00:00,28:00:00,21600,33600
9 4 23 20,18:00:00,19:10:00,21600,23000
12 11 15,18:00:00,20:19:00,21600,24380
13 36,18:00:00,19:08:00,21600,22960
29 3,18:00:00,28:00:00,21600,33600
14 31 25 2,18:00:00,18:25:00,21600,22100
24 8,18:00:00,18:39:00,21600,22380
31 2,18:25:00,19:08:00,22100,22960
24 8,19:03:00,25:25:00,22860,30500
4 23 20,19:10:00,21:22:00,23000,25640
26 27,19:32:00,20:09:00,23440,24180
28 37,19:32:00,20:09:00,23440,24180
26 27 28 37,20:09:00,25:40:00,24180,30800
12 15,20:19:00,28:00:00,24380,33600
31 2,19:52:00,22:41:00,23840,27220
13 36,19:52:00,22:41:00,23840,27220
9 4 23 20,21:22:00,22:20:00,25640,26800
4 23 20,22:20:00,22:52:00,26800,27440
31 2 13,22:48:00,24:44:00,27360,29680
9 4 23 20,22:52:00,24:30:00,27440,29400
4 23 20,24:30:00,24:55:00,29400,29900
9 4 23 20,24:55:00,25:55:00,29900,31100
31 2,25:02:00,26:57:00,30040,32340
13 36,25:02:00,25:46:00,30040,30920
26 27,25:40:00,26:05:00,30800,31300
28 37,25:40:00,26:05:00,30800,31300
7 24,25:43:00,28:00:00,30860,33600
9 20,25:55:00,28:00:00,31100,33600
4 23,25:55:00,28:00:00,31100,33600
26 27 28 37,26:05:00,26:51:00,31300,32220
13 36,26:21:00,26:57:00,31620,32340
31 2 13 36,26:57:00,27:57:00,32340,33540
14 25,19:30:00,20:50:00,23400,25000
14 25,23:14:00,23:14:00,28200,29400
