,subjects,timestart,timeend,samplestart,sampleend,duration_secs,duration_mins
0,13 22 36,10:00,12:09,12000,14580,129.0,2.15
1,31 35 20,10:32,11:47,12640,14140,75.0,1.25
2,17 25 28,10:32,11:27,12640,13740,55.0,0.92
3,19 34,10:32,11:47,12640,14140,75.0,1.25
4,17 19 28,12:06,13:00,14520,15600,54.0,0.9
5,13 22 36,12:28,13:17,14960,15940,49.0,0.82
6,17 25 19 28,13:00,15:03,15600,18060,123.0,2.05
7,12 22 13 36,13:17,14:46,15940,17720,89.0,1.48
8,16 18 21,14:27,15:25,17340,18500,58.0,0.97
9,3 22,14:46,16:22,17720,19640,96.0,1.6
10,12 13 36,14:46,15:17,17720,18340,31.0,0.52
11,12 36,15:17,16:25,18340,19700,68.0,1.13
12,6 34,16:17,16:43,19540,20060,26.0,0.43
13,20 31 35,16:17,16:43,19540,20060,26.0,0.43
14,12 22 36,16:25,16:50,19700,20200,25.0,0.42
15,6 34 20 31 35,16:43,17:12,20060,20640,29.0,0.48
16,6 34,17:12,19:13,20640,23060,121.0,2.02
17,20 31 35,17:12,19:13,20640,23060,121.0,2.02
18,17 19 25 28,18:21,20:00,22020,24000,99.0,1.65
19,2 13 18 24,18:35,20:00,22300,24000,85.0,1.42
20,38 39,18:38,20:00,22360,24000,82.0,1.37
21,6 34 20 31 35,19:13,20:00,23060,24000,47.0,0.78
22,8 26,10:00,12:00,12000,14400,120.0,2.0
23,8 26,12:00,14:00,14400,16800,120.0,2.0
24,8 26,14:00,16:00,16800,19200,120.0,2.0
25,8 26,16:00,19:00,19200,22800,180.0,3.0
26,14 32,10:00,12:00,12000,14400,120.0,2.0
27,14 32,12:00,14:00,14400,16800,120.0,2.0
28,14 32,14:00,16:30,16800,19800,150.0,2.5
29,14 32,18:00,20:00,21600,24000,120.0,2.0
30,16 21,15:25,17:25,18500,20900,120.0,2.0
31,16 21,18:00,20:00,21600,24000,120.0,2.0
32,2 18,10:00,12:00,12000,14400,120.0,2.0
33,2 18,12:00,14:00,14400,16800,120.0,2.0
34,16 21,10:00,12:00,12000,14400,120.0,2.0
35,16 21,12:00,14:00,14400,16800,120.0,2.0
36,20 31 34 35,12:06,14:06,14520,16920,120.0,2.0
37,20 31 34 35,14:06,16:06,16920,19320,120.0,2.0
38,12 36,16:50,19:50,20200,23800,180.0,3.0
39,2 13 18,15:25,18:25,18500,22100,180.0,3.0
40,19 25,15:03,18:03,18060,21660,180.0,3.0
41,17 28,15:03,18:03,18060,21660,180.0,3.0
42,2 7 31 32 36,00:00,01:13,0,1460,73.0,1.22
43,10 12 13 15 33 37,00:00,00:47,0,940,47.0,0.78
44,23 26,00:00,00:34,0,680,34.0,0.57
45,14 16 29,00:00,00:35,0,700,35.0,0.58
46,2 7,01:13,03:53,1460,4660,160.0,2.67
47,31 32 36,01:13,03:53,1460,4660,160.0,2.67
48,10 12 33,01:52,02:22,2240,2840,30.0,0.5
49,37  27,01:52,02:22,2240,2840,30.0,0.5
50,14 16 8 9 22 35,05:31,07:48,6620,9360,137.0,2.28
51,10 12 33,06:02,08:26,7240,10120,144.0,2.4
52,2 7 13 15 21,07:52,09:02,9440,10840,70.0,1.17
53,31 32 36,07:52,10:00,9440,12000,128.0,2.13
54,14 16 8 9 22 30,07:55,08:46,9500,10520,51.0,0.85
55,1 26 10,08:52,10:00,10640,12000,68.0,1.13
56,13 15 21 12,09:08,10:00,10960,12000,52.0,0.87
57,27 28 37,06:02,07:07,7240,8540,65.0,1.08
58,27 28 37,08:06,10:00,9720,12000,114.0,1.9
59,5 30,00:01,02:01,20,2420,120.0,2.0
60,5 30,03:01,04:56,3620,5920,115.0,1.92
61,14 16 29 8 9 22 35,00:35,02:35,700,3100,120.0,2.0
62,14 16 29 8 9 22 35,03:01,05:31,3620,6620,150.0,2.5
63,5 29,05:31,07:31,6620,9020,120.0,2.0
64,5 29,07:32,09:32,9040,11440,120.0,2.0
65,2 7 31 32 36,03:53,05:53,4660,7060,120.0,2.0
66,2 7 31 32 36,05:53,07:52,7060,9440,119.0,1.98
67,13 15 21,03:56,05:26,4720,6520,90.0,1.5
68,13 15 21,05:26,07:51,6520,9420,145.0,2.42
69,10 12 33 37,02:22,05:22,2840,6440,180.0,3.0
70,27 28,02:22,05:22,2840,6440,180.0,3.0
71,26 27 28 37,18:00,19:32,21600,23440,92.0,1.53
72,9 4 23 20,18:00,19:10,21600,23000,70.0,1.17
73,12 11 15,18:00,20:19,21600,24380,139.0,2.32
74,13 36,18:00,19:08,21600,22960,68.0,1.13
75,14 31 25 2,18:00,18:25,21600,22100,25.0,0.42
76,24 8,18:00,18:39,21600,22380,39.0,0.65
77,31 2,18:25,19:08,22100,22960,43.0,0.72
78,4 23 20,19:10,21:22,23000,25640,132.0,2.2
79,26 27,19:32,20:09,23440,24180,37.0,0.62
80,28 37,19:32,20:09,23440,24180,37.0,0.62
81,31 2,19:52,22:41,23840,27220,169.0,2.82
82,13 36,19:52,22:41,23840,27220,169.0,2.82
83,9 4 23 20,21:22,22:20,25640,26800,58.0,0.97
84,4 23 20,22:20,22:52,26800,27440,32.0,0.53
85,31 2 13,22:48,24:44,27360,29680,116.0,1.93
86,9 4 23 20,22:52,24:30,27440,29400,98.0,1.63
87,4 23 20,24:30,24:55,29400,29900,25.0,0.42
88,9 4 23 20,24:55,25:55,29900,31100,60.0,1.0
89,31 2,25:02,26:57,30040,32340,115.0,1.92
90,13 36,25:02,25:46,30040,30920,44.0,0.73
91,26 27,25:40,26:05,30800,31300,25.0,0.42
92,28 37,25:40,26:05,30800,31300,25.0,0.42
93,7 24,25:43,28:00,30860,33600,137.0,2.28
94,9 20,25:55,28:00,31100,33600,125.0,2.08
95,4 23,25:55,28:00,31100,33600,125.0,2.08
96,26 27 28 37,26:05,26:51,31300,32220,46.0,0.77
97,13 36,26:21,26:57,31620,32340,36.0,0.6
98,31 2 13 36,26:57,27:57,32340,33540,60.0,1.0
99,14 25,19:30,20:50,23400,25000,80.0,1.33
100,14 25,23:14,23:14,28200,29400,60.0,1.0
101,21 22 5 1,19:15,20:15,21600,23100,75.0,1.25
102,21 22 5 1,21:00,23:00,25200,27600,120.0,2.0
103,21 22 5 1,24:30,26:30,29400,31800,120.0,2.0
104,21 22 5 1,26:30,28:00,31800,33600,90.0,1.5
105,29 3,18:00,20:00,21600,24000,120.0,2.0
106,29 3,22:00,24:00,26400,28800,120.0,2.0
107,29 3,26:00,28:00,31200,33600,120.0,2.0
108,12 15,19:30,21:15,23400,25500,105.0,1.75
109,12 15,22:30,25:00,27000,30000,150.0,2.5
110,12 15,25:30,26:40,30600,32000,70.0,1.17
111,24 8,20:40,23:10,24800,27800,150.0,2.5
112,24 8,23:25,25:25,28100,30500,120.0,2.0
113,26 27 28 37,20:09,22:39,24180,27180,150.0,2.5
114,26 27 28 37,22:44,25:29,27280,30580,165.0,2.75
