,subjects,timestart,timeend,samplestart,sampleend,duration_mins,duration_secs
0,"['3', '37']",1900-01-01 00:10:00,1900-01-01 00:14:04,12000,16880,4.07,244.0
1,"['13', '22', '36']",1900-01-01 00:10:00,1900-01-01 00:12:09,12000,14580,2.15,129.0
2,"['2', '18']",1900-01-01 00:10:00,1900-01-01 00:14:27,12000,17340,4.45,267.0
3,"['16', '21']",1900-01-01 00:10:00,1900-01-01 00:14:27,12000,17340,4.45,267.0
4,['39'],1900-01-01 00:10:00,1900-01-01 00:18:38,12000,22360,8.63,518.0
5,"['8', '26']",1900-01-01 00:10:00,1900-01-01 00:20:00,12000,24000,10.0,600.0
6,"['12', '25', '28']",1900-01-01 00:10:00,1900-01-01 00:10:13,12000,12260,0.22,13.0
7,"['14', '32']",1900-01-01 00:10:00,1900-01-01 00:20:00,12000,24000,10.0,600.0
8,"['17', '19', '20']",1900-01-01 00:10:00,1900-01-01 00:10:06,12000,12120,0.1,6.0
9,"['31', '34', '35']",1900-01-01 00:10:00,1900-01-01 00:10:06,12000,12120,0.1,6.0
10,"['17', '19', '31', '34', '35', '20']",1900-01-01 00:10:06,1900-01-01 00:10:32,12120,12640,0.43,26.0
11,"['1', '6']",1900-01-01 00:10:00,1900-01-01 00:13:28,12000,16160,3.47,208.0
12,['12'],1900-01-01 00:10:13,1900-01-01 00:13:17,12260,15940,3.07,184.0
13,"['25', '28']",1900-01-01 00:10:13,1900-01-01 00:10:32,12260,12640,0.32,19.0
14,"['31', '35', '20']",1900-01-01 00:10:32,1900-01-01 00:11:47,12640,14140,1.25,75.0
15,"['17', '25', '28']",1900-01-01 00:10:32,1900-01-01 00:11:27,12640,13740,0.92,55.0
16,"['19', '34']",1900-01-01 00:10:32,1900-01-01 00:11:47,12640,14140,1.25,75.0
17,"['17', '28']",1900-01-01 00:11:27,1900-01-01 00:11:38,13740,13960,0.18,11.0
18,['25'],1900-01-01 00:11:27,1900-01-01 00:11:38,13740,13960,0.18,11.0
19,"['17', '25']",1900-01-01 00:11:38,1900-01-01 00:11:42,13960,14040,0.07,4.0
20,['28'],1900-01-01 00:11:38,1900-01-01 00:11:47,13960,14140,0.15,9.0
