group_ids,member_count,missing_acc,percent_miss,missing,miss>=50
1_005,3,1,33.33333333,1,0
1_018,3,0,0,0,0
1_019,3,0,0,0,0
1_020,2,0,0,0,0
1_030,3,0,0,0,0
1_033,3,1,33.33333333,1,0
1_034,4,0,0,0,0
1_035,4,1,25,1,0
1_042,3,0,0,0,0
1_044,2,1,50,1,1
1_046,3,0,0,0,0
1_047,2,0,0,0,0
1_059,2,1,50,1,1
1_060,3,0,0,0,0
1_061,3,1,33.33333333,1,0
1_062,5,1,20,1,0
1_065,2,1,50,1,1
1_066,3,0,0,0,0
1_067,4,0,0,0,0
1_068,4,0,0,0,0
1_069,2,0,0,0,0
1_071,5,1,20,1,0
1_072,2,0,0,0,0
1_073,2,0,0,0,0
1_074,2,0,0,0,0
1_075,2,0,0,0,0
1_076,2,0,0,0,0
1_077,2,0,0,0,0
1_078,2,0,0,0,0
1_079,2,0,0,0,0
1_080,2,0,0,0,0
1_081,2,0,0,0,0
1_082,2,0,0,0,0
1_083,2,0,0,0,0
1_084,2,0,0,0,0
1_085,2,0,0,0,0
1_086,4,0,0,0,0
1_087,4,0,0,0,0
1_088,2,0,0,0,0
1_089,3,0,0,0,0
1_090,2,0,0,0,0
1_091,2,0,0,0,0
2_005,5,2,40,1,0
2_006,6,2,33.33333333,1,0
2_009,2,0,0,0,0
2_011,3,1,33.33333333,1,0
2_020,2,0,0,0,0
2_021,3,2,66.66666667,1,1
2_022,3,1,33.33333333,1,0
2_027,2,1,50,1,1
2_036,6,0,0,0,0
2_038,3,1,33.33333333,1,0
2_042,5,1,20,1,0
2_043,3,2,66.66666667,1,1
2_044,6,0,0,0,0
2_050,3,2,66.66666667,1,1
2_052,4,1,25,1,0
2_056,3,1,33.33333333,1,0
2_057,3,1,33.33333333,1,0
2_058,2,0,0,0,0
2_059,2,0,0,0,0
2_060,7,1,14.28571429,1,0
2_061,7,1,14.28571429,1,0
2_062,2,1,50,1,1
2_063,2,1,50,1,1
2_064,5,2,40,1,0
2_065,5,2,40,1,0
2_066,3,1,33.33333333,1,0
2_067,3,1,33.33333333,1,0
2_068,4,2,50,1,1
2_069,2,0,0,0,0
3_004,4,2,50,1,1
3_006,4,0,0,0,0
3_007,3,0,0,0,0
3_010,2,1,50,1,1
3_012,4,1,25,1,0
3_013,2,0,0,0,0
3_016,2,1,50,1,1
3_021,3,0,0,0,0
3_023,2,1,50,1,1
3_024,2,1,50,1,1
3_027,2,1,50,1,1
3_028,2,1,50,1,1
3_029,4,0,0,0,0
3_031,3,0,0,0,0
3_033,3,1,33.33333333,1,0
3_035,4,0,0,0,0
3_037,3,0,0,0,0
3_041,4,0,0,0,0
3_042,2,1,50,1,1
3_043,2,1,50,1,1
3_046,2,1,50,1,1
3_047,2,1,50,1,1
3_048,2,0,0,0,0
3_050,2,0,0,0,0
3_051,2,0,0,0,0
3_052,4,2,50,1,1
3_054,2,1,50,1,1
3_055,4,2,50,1,1
3_058,2,0,0,0,0
3_059,2,0,0,0,0
3_060,4,2,50,1,1
3_061,4,2,50,1,1
3_062,4,2,50,1,1
3_063,4,2,50,1,1
3_064,2,0,0,0,0
3_065,2,0,0,0,0
3_066,2,0,0,0,0
3_067,2,0,0,0,0
3_068,2,0,0,0,0
3_069,2,0,0,0,0
3_070,2,0,0,0,0
3_071,2,0,0,0,0
3_072,4,2,50,1,1
3_073,4,2,50,1,1
